LoanID,StudentID,ItemID,ItemCategory,CheckoutDate,ReturnDate,Status
1,29,14,Accessory,2026-04-17,2026-04-20,returned
2,2,11,Calculator,2026-03-14,,checked_out
3,3,14,Accessory,2026-03-15,,checked_out
4,13,5,Audio,2026-05-11,2026-05-23,returned
5,6,6,Audio,2026-04-15,2026-04-24,returned
6,23,15,Audio,2026-07-08,2026-07-28,returned
7,21,3,Camera,2026-05-31,,checked_out
8,6,8,Accessory,2026-04-22,2026-05-13,returned
9,23,9,Accessory,2026-03-12,2026-03-14,returned
10,8,14,Accessory,2026-01-23,,checked_out
11,13,5,Audio,2026-01-31,2026-02-19,returned
12,29,12,Classroom,2026-04-05,2026-04-21,returned
13,13,15,Audio,2026-06-28,2026-07-07,returned
14,5,4,Camera,2026-07-24,2026-08-02,returned
15,24,10,Tablet,2026-05-04,,checked_out
16,13,6,Audio,2026-03-12,,checked_out
17,5,9,Accessory,2026-05-21,2026-05-23,returned
18,28,2,Laptop,2026-02-23,2026-03-09,returned
19,20,2,Laptop,2026-04-23,2026-05-08,returned
20,17,5,Audio,2026-06-05,,checked_out
21,1,11,Calculator,2026-07-18,2026-08-05,returned
22,25,5,Audio,2026-07-30,2026-08-03,returned
23,10,7,Projector,2026-02-24,2026-03-05,returned
24,17,13,Camera,2026-03-01,2026-03-05,returned
25,28,11,Calculator,2026-04-01,,checked_out
26,17,10,Tablet,2026-03-06,2026-03-12,returned
27,18,13,Camera,2026-05-30,,checked_out
28,20,6,Audio,2026-05-20,2026-06-01,returned
29,29,14,Accessory,2026-08-09,2026-08-11,returned
30,8,15,Audio,2026-06-09,,checked_out
31,3,12,Classroom,2026-05-19,,checked_out
32,25,9,Accessory,2026-07-30,2026-08-15,returned
33,18,3,Camera,2026-03-23,2026-04-12,returned
34,14,4,Camera,2026-06-02,,checked_out
35,23,4,Camera,2026-07-16,2026-08-06,returned
36,12,8,Accessory,2026-05-27,2026-06-04,returned
37,8,2,Laptop,2026-04-11,2026-04-29,returned
38,8,10,Tablet,2026-03-12,2026-04-02,returned
39,2,4,Camera,2026-02-01,,checked_out
40,28,6,Audio,2026-02-02,2026-02-11,returned
41,22,8,Accessory,2026-03-10,2026-03-29,returned
42,19,8,Accessory,2026-03-18,,checked_out
43,26,7,Projector,2026-03-04,2026-03-18,returned
44,12,7,Projector,2026-04-30,2026-05-02,returned
45,22,11,Calculator,2026-06-29,2026-07-12,returned
46,24,6,Audio,2026-08-07,,checked_out
47,8,4,Camera,2026-03-04,2026-03-09,returned
48,14,3,Camera,2026-03-27,2026-03-30,returned
49,15,13,Camera,2026-08-23,,checked_out
50,4,1,Laptop,2026-06-30,,checked_out
51,27,1,Laptop,2026-02-07,,checked_out
